eps,n,cost
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,80,3216738.25
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,90,3422854.61
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0005,100,3618366.77
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,10,530046.52
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,20,1017665.03
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,30,1574273.57
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,40,1831167.49
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,50,2470664.85
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,60,3172067.65
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,70,3439475.91
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,80,4216257.97
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,90,4485137.64
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
0.0001,100,4740121.97
