n,cost
10,33327.79
500,1737490.50
1000,3525342.99
1500,5453902.04
2000,7408531.04
2500,9295016.78
3000,11290677.04
3500,13114890.63
4000,15002086.60
4500,16952881.95
5000,18967130.87
5500,21044270.39
6000,22809581.21
6500,24993410.76
7000,26831495.27
7500,29120362.31
8000,31031339.19
8500,32971229.50
9000,34940184.50
9500,36938268.80
10000,38965481.01
